"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","KC","0.237","50.0%","0.349","52.7%","0.018","44.7%"
"2","","NO","0.156","49.9%","0.284","55.8%","-0.011","42.2%"
"3","","LA","0.149","50.7%","0.203","51.2%","0.066","50.0%"
"4","","LAC","0.123","46.9%","0.211","50.9%","-0.007","40.8%"
"5","","PIT","0.102","47.5%","0.194","50.8%","-0.112","39.9%"
"6","","SEA","0.093","44.2%","0.208","49.1%","-0.027","39.1%"
"7","","NE","0.090","47.3%","0.181","52.2%","-0.031","40.8%"
"8","","ATL","0.084","46.8%","0.199","52.2%","-0.157","35.5%"
"9","","CAR","0.067","48.0%","0.086","48.3%","0.033","47.4%"
"10","","IND","0.059","48.1%","0.141","50.8%","-0.097","42.8%"
"11","","GB","0.054","46.0%","0.093","46.6%","-0.046","44.3%"
"12","","TB","0.045","44.9%","0.167","50.4%","-0.232","32.4%"
"13","","CHI","0.040","46.4%","0.147","50.3%","-0.117","40.6%"
"14","","PHI","0.036","46.2%","0.110","49.4%","-0.097","40.4%"
"15","","BAL","0.035","45.8%","0.061","46.7%","0.003","44.7%"
"16","","HOU","0.032","44.3%","0.144","50.5%","-0.149","34.5%"
"17","","NYG","0.017","39.9%","0.054","42.9%","-0.052","34.5%"
"18","","CIN","0.012","43.6%","0.074","46.6%","-0.105","37.8%"
"19","","DAL","0.009","43.9%","0.051","45.8%","-0.060","40.8%"
"20","","CLE","-0.009","42.8%","0.037","45.2%","-0.091","38.7%"
"21","","SF","-0.020","44.8%","0.054","48.9%","-0.135","38.4%"
"22","","DEN","-0.020","43.4%","-0.009","44.2%","-0.040","42.1%"
"23","","DET","-0.022","41.5%","0.027","44.8%","-0.106","35.9%"
"24","","TEN","-0.028","42.7%","0.023","46.2%","-0.092","38.3%"
"25","","LV","-0.057","44.8%","0.001","47.5%","-0.154","40.1%"
"26","","WAS","-0.073","42.3%","-0.059","44.7%","-0.096","38.4%"
"27","","MIN","-0.075","43.3%","-0.011","48.6%","-0.204","32.7%"
"28","","MIA","-0.113","40.1%","-0.103","41.6%","-0.129","37.7%"
"29","","NYJ","-0.129","37.1%","-0.087","41.4%","-0.193","30.6%"
"30","","JAX","-0.130","40.4%","-0.101","42.9%","-0.184","35.7%"
"31","","BUF","-0.150","37.5%","-0.150","39.6%","-0.151","34.3%"
"32","","ARI","-0.239","35.6%","-0.267","37.9%","-0.190","31.6%"
