"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","-0.217","38.0%","-0.241","39.6%","-0.168","34.9%"
"2","","SF","-0.138","41.2%","-0.123","40.9%","-0.163","41.8%"
"3","","PIT","-0.122","40.1%","-0.076","42.5%","-0.187","36.7%"
"4","","BAL","-0.089","41.5%","-0.084","42.7%","-0.101","39.1%"
"5","","BUF","-0.085","41.4%","-0.096","42.2%","-0.067","40.0%"
"6","","TB","-0.072","39.7%","0.007","43.3%","-0.255","31.4%"
"7","","MIN","-0.067","44.4%","-0.030","47.6%","-0.134","38.7%"
"8","","CHI","-0.047","41.1%","0.019","45.5%","-0.157","33.7%"
"9","","LA","-0.039","42.0%","-0.008","43.8%","-0.088","39.3%"
"10","","NO","-0.036","41.7%","0.044","45.5%","-0.217","33.0%"
"11","","PHI","-0.031","40.9%","0.064","45.1%","-0.218","32.5%"
"12","","GB","-0.030","43.6%","-0.040","44.4%","-0.013","42.2%"
"13","","DAL","-0.026","44.7%","0.020","47.4%","-0.111","39.9%"
"14","","NYJ","-0.022","40.2%","0.097","45.3%","-0.234","30.9%"
"15","","TEN","-0.020","43.0%","0.047","46.0%","-0.144","37.5%"
"16","","DEN","-0.001","42.6%","0.063","46.8%","-0.098","36.0%"
"17","","IND","-0.000","43.1%","0.085","47.8%","-0.159","34.5%"
"18","","KC","0.002","44.9%","0.016","45.7%","-0.024","43.4%"
"19","","SEA","0.019","46.3%","0.075","49.3%","-0.086","40.8%"
"20","","LAC","0.036","44.2%","0.128","49.0%","-0.091","37.6%"
"21","","ATL","0.044","45.4%","0.138","48.2%","-0.106","41.1%"
"22","","CLE","0.049","45.0%","0.096","46.8%","-0.019","42.5%"
"23","","HOU","0.059","43.9%","0.137","48.2%","-0.085","35.9%"
"24","","CAR","0.059","45.6%","0.055","46.8%","0.066","43.6%"
"25","","DET","0.071","44.6%","0.172","47.9%","-0.100","39.1%"
"26","","JAX","0.072","45.6%","0.114","48.6%","0.009","40.9%"
"27","","NYG","0.073","43.3%","0.222","50.1%","-0.152","32.9%"
"28","","WAS","0.083","44.5%","0.189","48.4%","-0.060","39.2%"
"29","","ARI","0.095","46.5%","0.231","51.7%","-0.137","37.7%"
"30","","CIN","0.097","44.3%","0.190","46.0%","-0.023","42.2%"
"31","","LV","0.118","46.7%","0.255","50.7%","-0.117","39.9%"
"32","","MIA","0.125","45.4%","0.252","50.1%","-0.038","39.3%"
