"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","JAX","-0.192","39.4%","-0.225","39.4%","-0.141","39.5%"
"2","","MIN","-0.135","38.4%","-0.118","40.5%","-0.167","34.4%"
"3","","BAL","-0.113","40.9%","-0.099","43.5%","-0.135","36.7%"
"4","","PHI","-0.109","40.0%","-0.070","44.1%","-0.196","30.9%"
"5","","ARI","-0.090","39.5%","-0.045","44.5%","-0.165","31.1%"
"6","","DEN","-0.087","39.6%","0.027","46.4%","-0.249","30.0%"
"7","","LA","-0.071","39.1%","-0.084","40.8%","-0.049","36.0%"
"8","","LAC","-0.070","41.8%","-0.090","43.0%","-0.038","39.9%"
"9","","CAR","-0.060","42.6%","-0.013","45.7%","-0.156","36.3%"
"10","","SEA","-0.056","39.7%","-0.012","42.5%","-0.122","35.4%"
"11","","CHI","-0.051","41.5%","0.008","43.3%","-0.142","38.8%"
"12","","DET","-0.050","42.9%","-0.020","45.9%","-0.099","38.0%"
"13","","PIT","-0.040","41.1%","-0.023","41.8%","-0.067","40.0%"
"14","","WAS","-0.037","41.1%","-0.052","40.2%","-0.014","42.5%"
"15","","TEN","-0.030","42.3%","0.055","46.9%","-0.189","33.7%"
"16","","NO","-0.026","41.9%","0.019","43.5%","-0.105","39.1%"
"17","","CIN","-0.019","42.2%","0.006","42.9%","-0.056","41.2%"
"18","","ATL","-0.010","44.3%","0.054","47.9%","-0.122","38.0%"
"19","","NYJ","0.011","40.3%","0.131","45.9%","-0.158","32.5%"
"20","","NYG","0.011","40.8%","0.101","45.1%","-0.119","34.5%"
"21","","BUF","0.014","43.7%","0.018","46.8%","0.007","39.0%"
"22","","CLE","0.016","43.1%","0.155","50.1%","-0.177","33.5%"
"23","","DAL","0.022","45.4%","0.061","47.6%","-0.047","41.5%"
"24","","KC","0.026","45.2%","0.094","46.5%","-0.082","43.1%"
"25","","SF","0.028","43.6%","0.125","47.8%","-0.107","37.6%"
"26","","NE","0.029","44.6%","0.074","47.0%","-0.055","40.3%"
"27","","HOU","0.031","41.3%","0.133","46.2%","-0.118","34.1%"
"28","","MIA","0.035","42.5%","0.128","46.6%","-0.106","36.4%"
"29","","TB","0.039","43.9%","0.133","49.1%","-0.104","36.1%"
"30","","GB","0.041","42.8%","0.180","49.6%","-0.145","33.7%"
"31","","LV","0.054","43.8%","0.158","47.3%","-0.098","38.6%"
"32","","IND","0.067","41.8%","0.197","47.1%","-0.099","34.9%"
