"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","TB","0.143","49.9%","0.197","51.6%","0.024","46.3%"
"2","","KC","0.140","51.1%","0.216","53.3%","-0.024","46.4%"
"3","","GB","0.136","48.9%","0.222","51.1%","-0.003","45.3%"
"4","","BUF","0.091","47.4%","0.165","51.1%","-0.050","40.3%"
"5","","LAC","0.088","47.4%","0.167","50.3%","-0.075","41.5%"
"6","","SF","0.085","45.5%","0.174","47.7%","-0.024","42.8%"
"7","","DAL","0.084","46.8%","0.168","50.1%","-0.062","41.1%"
"8","","LA","0.082","46.6%","0.183","50.2%","-0.089","40.6%"
"9","","ARI","0.079","46.8%","0.154","50.4%","-0.037","41.3%"
"10","","NE","0.070","48.6%","0.133","50.8%","-0.012","45.7%"
"11","","CIN","0.063","44.6%","0.161","48.3%","-0.094","38.6%"
"12","","PHI","0.061","46.4%","0.091","45.2%","0.025","47.9%"
"13","","IND","0.060","44.6%","0.055","45.7%","0.065","43.0%"
"14","","SEA","0.042","43.8%","0.053","45.2%","0.026","41.5%"
"15","","TEN","0.025","44.7%","0.092","50.6%","-0.054","37.8%"
"16","","DEN","0.021","44.7%","0.100","46.4%","-0.093","42.2%"
"17","","MIN","0.018","41.6%","0.102","45.3%","-0.111","35.9%"
"18","","CLE","0.014","43.7%","0.013","45.0%","0.015","42.0%"
"19","","BAL","0.009","46.4%","0.041","47.6%","-0.045","44.3%"
"20","","LV","-0.001","45.2%","0.089","47.8%","-0.162","40.5%"
"21","","WAS","-0.036","44.8%","-0.018","45.5%","-0.062","43.8%"
"22","","MIA","-0.046","41.8%","0.028","47.0%","-0.180","32.3%"
"23","","PIT","-0.051","40.2%","-0.037","41.7%","-0.078","37.3%"
"24","","DET","-0.061","42.1%","-0.022","45.7%","-0.123","36.5%"
"25","","NO","-0.063","41.1%","0.002","44.2%","-0.148","37.0%"
"26","","NYJ","-0.072","42.1%","-0.066","42.8%","-0.084","40.7%"
"27","","ATL","-0.076","41.2%","-0.028","46.7%","-0.162","31.5%"
"28","","JAX","-0.079","44.0%","-0.061","44.9%","-0.113","42.3%"
"29","","CHI","-0.087","41.4%","-0.077","43.6%","-0.105","37.7%"
"30","","CAR","-0.132","41.2%","-0.158","41.1%","-0.089","41.4%"
"31","","HOU","-0.134","37.6%","-0.086","43.0%","-0.213","29.0%"
"32","","NYG","-0.141","40.2%","-0.146","41.1%","-0.133","38.6%"
